
                        Performance Profile Database
                        ----------------------------

This file contains a log of all the performance profiling measurements that
SciTech Software has run on their extensive collection of PCI and VLB based
video cards. All measurements were run on the same machines using exactly
the same software and version of UniVBE (utilitsing full VBE 2.0 support
for maximum performance in all cases).

The following lists the video modes that were profiled and their resolution:

    13h     - 320x200x8,  Standard VGA
    153h    - 320x200x8,  banked framebuffer (SciTech SuperVGA mode)
    101h    - 640x480x8,  banked framebuffer
    110h    - 640x480x15, banked framebuffer
    111h    - 640x480x16, banked framebuffer
    112h    - 640x480x24, banked framebuffer
    128h    - 640x480x32, banked framebuffer
    4153h   - 320x200x8,  linear framebuffer (SciTech SuperVGA mode)
    4101h   - 640x480x8,  linear framebuffer
    4110h   - 640x480x15, linear framebuffer
    4111h   - 640x480x16, linear framebuffer
    4112h   - 640x480x24, linear framebuffer
    4128h   - 640x480x32, linear framebuffer

The following results were obtained on the following system configuration:

    Intel Pentium P90 ISA/PCI motherboard
    Award 'Energy Star' BIOS
    256Kb cache, 16Mb DRAM

+---------------------------------+-------+-----------------+-----------------+
| Video card name                 |  mode | clears/s (Mb/s) | bitBlt/s (Mb/s) |
| ARK 1000PV PCI 1Mb DRAM         |  110h |   68.18 (39.95) |   58.44 (34.24) |
| ARK 1000PV PCI 1Mb DRAM         |  111h |   68.16 (39.94) |   58.45 (34.25) |
| ARK 1000PV PCI 1Mb DRAM         |  112h |    6.21 ( 5.45) |   16.64 (14.63) |
| ARK 1000PV PCI 1Mb DRAM         | 4153h |  930.46 (56.79) |  711.56 (43.43) |
| ARK 1000PV PCI 1Mb DRAM         | 4101h |  173.72 (50.89) |  134.45 (39.39) |
| ARK 1000PV PCI 1Mb DRAM         | 4110h |   68.16 (39.94) |   58.25 (34.13) |
| ARK 1000PV PCI 1Mb DRAM         | 4111h |   68.15 (39.93) |   58.26 (34.13) |
| ARK 1000PV PCI 1Mb DRAM         | 4112h |    6.21 ( 5.46) |   16.59 (14.58) |
+---------------------------------+-------+-----------------+-----------------+
| Spider Black Widow PCI 1Mb DRAM |   13h |   94.44 ( 5.76) |   94.41 ( 5.76) |
| Spider Black Widow PCI 1Mb DRAM |  153h |   94.40 ( 5.76) |   94.37 ( 5.76) |
| Spider Black Widow PCI 1Mb DRAM |  101h |   19.67 ( 5.76) |   19.65 ( 5.76) |
| Spider Black Widow PCI 1Mb DRAM |  110h |    6.18 ( 5.79) |    6.17 ( 5.79) |
| Spider Black Widow PCI 1Mb DRAM |  111h |    6.17 ( 5.79) |    6.17 ( 5.79) |
| Spider Black Widow PCI 1Mb DRAM |  112h |    3.45 ( 3.24) |    6.27 ( 5.88) |
+---------------------------------+-------+-----------------+-----------------+
| Compaq QVision1280 ISA 2Mb DRAM |   13h |   38.81 ( 2.37) |   38.80 ( 2.37) |
| Compaq QVision1280 ISA 2Mb DRAM |  153h |   38.80 ( 2.37) |   38.78 ( 2.37) |
| Compaq QVision1280 ISA 2Mb DRAM |  101h |    8.08 ( 2.37) |    8.08 ( 2.37) |
| Compaq QVision1280 ISA 2Mb DRAM |  110h |    4.04 ( 2.37) |    4.04 ( 2.37) |
| Compaq QVision1280 ISA 2Mb DRAM |  111h |    4.04 ( 2.37) |    4.04 ( 2.37) |
| Compaq QVision1280 ISA 2Mb DRAM | 4153h |   38.81 ( 2.37) |   38.79 ( 2.37) |
| Compaq QVision1280 ISA 2Mb DRAM | 4101h |    8.08 ( 2.37) |    8.08 ( 2.37) |
+---------------------------------+-------+-----------------+-----------------+

The following results were obtained on the following system configuration:

    Intel 486DX2/66 ISA/VLB motherboard
    Award 'Energy Star' BIOS
    256Kb cache, 8Mb DRAM

+---------------------------------+-------+-----------------+-----------------+
| Video card name                 |  mode | clears/s (Mb/s) | bitBlt/s (Mb/s) |
+---------------------------------+-------+-----------------+-----------------+
| Baseline/system RAM             |   N/A |     N/A (40.64) |     N/A (19.47) |
+---------------------------------+-------+-----------------+-----------------+
| S3 86c805revP VLB 1Mb DRAM      |   13h |  172.55 (10.45) |  144.25 ( 8.73) |
| S3 86c805revP VLB 1Mb DRAM      |  101h |   34.16 ( 9.97) |   26.65 ( 7.78) |
| S3 86c805revP VLB 1Mb DRAM      |  110h |   16.11 ( 9.41) |   12.60 ( 7.35) |
| S3 86c805revP VLB 1Mb DRAM      |  111h |   16.12 ( 9.41) |   12.60 ( 7.35) |
| S3 86c805revP VLB 1Mb DRAM      |  112h |    2.44 ( 2.14) |    5.95 ( 5.21) |
| S3 86c805revP VLB 1Mb DRAM      | 4101h |   34.18 ( 9.98) |   26.70 ( 7.80) |
| S3 86c805revP VLB 1Mb DRAM      | 4110h |   16.06 ( 9.37) |   12.62 ( 7.37) |
| S3 86c805revP VLB 1Mb DRAM      | 4111h |   16.06 ( 9.37) |   12.62 ( 7.37) |
| S3 86c805revP VLB 1Mb DRAM      | 4112h |    2.44 ( 2.13) |    5.96 ( 5.22) |
+---------------------------------+-------+-----------------+-----------------+
| ET4000/W32i revB VLB 2Mb DRAM   |   13h |  400.36 (24.24) |  282.16 (17.08) |
| ET4000/W32i revB VLB 2Mb DRAM   |  153h |  413.35 (25.02) |  281.39 (17.04) |
| ET4000/W32i revB VLB 2Mb DRAM   |  101h |   86.17 (25.15) |   51.22 (14.95) |
| ET4000/W32i revB VLB 2Mb DRAM   |  110h |   43.09 (25.16) |   25.61 (14.95) |
| ET4000/W32i revB VLB 2Mb DRAM   |  111h |   43.09 (25.16) |   25.62 (14.96) |
| ET4000/W32i revB VLB 2Mb DRAM   |  112h |    9.58 ( 8.39) |   17.08 (14.95) |
| ET4000/W32i revB VLB 2Mb DRAM   | 4153h |  414.05 (25.07) |  283.16 (17.14) |
| ET4000/W32i revB VLB 2Mb DRAM   | 4101h |   86.14 (25.15) |   51.37 (14.99) |
| ET4000/W32i revB VLB 2Mb DRAM   | 4110h |   43.07 (25.15) |   25.70 (15.00) |
| ET4000/W32i revB VLB 2Mb DRAM   | 4111h |   43.07 (25.15) |   25.69 (15.00) |
| ET4000/W32i revB VLB 2Mb DRAM   | 4112h |    9.58 ( 8.39) |   17.13 (15.00) |
+---------------------------------+-------+-----------------+-----------------+
| WD90C33 VLB 2Mb DRAM            |   13h |  102.54 ( 6.26) |  102.92 ( 6.28) |
| WD90C33 VLB 2Mb DRAM            |  101h |   37.80 (11.08) |   34.66 (10.15) |
| WD90C33 VLB 2Mb DRAM            |  110h |   17.90 (10.49) |   16.49 ( 9.66) |
| WD90C33 VLB 2Mb DRAM            |  111h |   17.61 (10.32) |   16.49 ( 9.66) |
| WD90C33 VLB 2Mb DRAM            |  112h |    2.63 ( 2.31) |    7.04 ( 6.19) |
| WD90C33 VLB 2Mb DRAM            | 4101h |   37.76 (11.06) |   34.70 (10.17) |
| WD90C33 VLB 2Mb DRAM            | 4110h |   17.89 (10.49) |   16.51 ( 9.67) |
